Authors,Title,Journal,Year,Host subfamily,Host genus,Host species,Virus subfamily,Virus genus,Virus strain or sequence,Tissue tested?,nSamples,nPositive,Prevalence,Detection type,Study type,Detection method,Detection method specific,Gene/Antigen Target,Sample type,Isolation successful,Country,State or Region,Site,Latitude,Longitude,SamplingYear,SamplingMonth,StartYear,StartMonth,EndYear,EndMonth,Season,Notes
"Sasaki, M; Setiyono, A; Handharyani, E; Rahmadani, I; Taha, S; Adiani, S; Subangkit, M; Sawa, H; Nakamura, I; Kimura, T",Molecular detection of a novel paramyxovirus in fruit bats from Indonesia,virology journal,2012,pteropodinae,pteropus,vampyrus,orthoparamyxovirinae,henipavirus,IFBPV01/2010,spleen,26,1,,single,cross-sectional,PCR,semi-nested RT-PCR,L,tissue,0,indonesia,west java province,panjalu district,,,2010,february,NA,NA,NA,NA,NA,
"Sasaki, M; Setiyono, A; Handharyani, E; Rahmadani, I; Taha, S; Adiani, S; Subangkit, M; Sawa, H; Nakamura, I; Kimura, T",Molecular detection of a novel paramyxovirus in fruit bats from Indonesia,virology journal,2012,pteropodinae,pteropus,vampyrus,NA,NA,NA,spleen,20,0,,single,cross-sectional,PCR,semi-nested RT-PCR,L,tissue,0,indonesia,west sumatra province,lima puluh kota district,,,2011,march,NA,NA,NA,NA,NA,
"Sasaki, M; Setiyono, A; Handharyani, E; Rahmadani, I; Taha, S; Adiani, S; Subangkit, M; Sawa, H; Nakamura, I; Kimura, T",Molecular detection of a novel paramyxovirus in fruit bats from Indonesia,virology journal,2012,pteropodinae,pteropus,hypomelanus,NA,NA,NA,spleen,4,0,,single,cross-sectional,PCR,semi-nested RT-PCR,L,tissue,0,indonesia,gorontalo province,popayato district,,,2011,april,NA,NA,NA,NA,NA,
"Sasaki, M; Setiyono, A; Handharyani, E; Rahmadani, I; Taha, S; Adiani, S; Subangkit, M; Sawa, H; Nakamura, I; Kimura, T",Molecular detection of a novel paramyxovirus in fruit bats from Indonesia,virology journal,2012,pteropodinae,pteropus,hypomelanus,orthoparamyxovirinae,henipavirus,"IFBPV32/2011, IFBPV39/2011, IFBPV46/2011",spleen,23,3,,single,cross-sectional,PCR,semi-nested RT-PCR,L,tissue,0,indonesia,gorontalo province,paguyaman district,,,2011,may,NA,NA,NA,NA,NA,
"Sasaki, M; Setiyono, A; Handharyani, E; Rahmadani, I; Taha, S; Adiani, S; Subangkit, M; Sawa, H; Nakamura, I; Kimura, T",Molecular detection of a novel paramyxovirus in fruit bats from Indonesia,virology journal,2012,pteropodinae,pteropus,hypomelanus,rubulavirinae,NA,IFBPV25/2011,spleen,23,1,,single,cross-sectional,PCR,semi-nested RT-PCR,L,tissue,0,indonesia,gorontalo province,paguyaman district,,,2011,june,NA,NA,NA,NA,NA,
"Sasaki, M; Setiyono, A; Handharyani, E; Rahmadani, I; Taha, S; Adiani, S; Subangkit, M; Sawa, H; Nakamura, I; Kimura, T",Molecular detection of a novel paramyxovirus in fruit bats from Indonesia,virology journal,2012,pteropodinae,pteropus,hypomelanus,NA,NA,NA,spleen,2,0,,single,cross-sectional,PCR,semi-nested RT-PCR,L,tissue,0,indonesia,gorontalo province,paguyaman district,,,2011,july,NA,NA,NA,NA,NA,
"Sasaki, M; Setiyono, A; Handharyani, E; Rahmadani, I; Taha, S; Adiani, S; Subangkit, M; Sawa, H; Nakamura, I; Kimura, T",Molecular detection of a novel paramyxovirus in fruit bats from Indonesia,virology journal,2012,pteropodinae,acerodon,celebensis,rubulavirinae,NA,IFBPV32/2012,spleen,18,1,,single,cross-sectional,PCR,semi-nested RT-PCR,L,tissue,0,indonesia,gorontalo province,paguyaman district,,,2012,august,NA,NA,NA,NA,NA,
"Sasaki, M; Setiyono, A; Handharyani, E; Rahmadani, I; Taha, S; Adiani, S; Subangkit, M; Sawa, H; Nakamura, I; Kimura, T",Molecular detection of a novel paramyxovirus in fruit bats from Indonesia,virology journal,2012,NA,dobsonia,moluccensis,NA,NA,NA,spleen,17,0,,single,cross-sectional,PCR,semi-nested RT-PCR,L,tissue,0,indonesia,gorontalo province,paguyaman district,,,2012,september,NA,NA,NA,NA,NA,
"Shirai, J; Sohayati, AL; Mohamed Ali, AL; Suriani, MN; Taniguchi, T; Sharifah, SH",Nipah virus survey of flying foxes in Malaysia,japan agricultural research quarterly,2007,pteropodinae,pteropus,hypomelanus,orthoparamyxovirinae,henipavirus,nipah virus,blood or serum,50,11,,single,cross-sectional,serology,serum neutralization test,NA,blood,NA,malaysia,johor,tioman island,2.7902,104.1698,2004,january,NA,NA,NA,NA,NA,
"Shirai, J; Sohayati, AL; Mohamed Ali, AL; Suriani, MN; Taniguchi, T; Sharifah, SH",Nipah virus survey of flying foxes in Malaysia,japan agricultural research quarterly,2007,pteropodinae,pteropus,hypomelanus,orthoparamyxovirinae,henipavirus,nipah virus,blood or serum,50,7,,single,cross-sectional,serology,serum neutralization test,NA,blood,NA,malaysia,johor,tioman island,2.7902,104.1698,2004,april,NA,NA,NA,NA,NA,
